output_folder,train_set_before_training,train_set_after_training,test_set_after_training
./output_supervised_roberta_50/yelp/p0-i2,0.2,0.2,0.2
./output_supervised_roberta_50/yelp/p0-i1,0.2,0.2,0.2
./output_supervised_roberta_50/yelp/p0-i0,0.18,0.26,0.20074
output_folder,train_set_before_training,train_set_after_training,test_set_after_training
./output_supervised_roberta_100/yelp/p0-i2,0.2,0.2,0.20152
./output_supervised_roberta_100/yelp/p0-i1,0.16,0.2,0.20002
./output_supervised_roberta_100/yelp/p0-i0,0.18,0.44,0.29378
output_folder,train_set_before_training,train_set_after_training,test_set_after_training
output_folder,train_set_before_training,train_set_after_training,test_set_after_training
./output_supervised_roberta_10000/yelp/p0-i2,0.1988,0.8304,0.63886
./output_supervised_roberta_10000/yelp/p0-i1,0.2,0.8277,0.63486
./output_supervised_roberta_10000/yelp/p0-i0,0.1677,0.8335,0.63724
output_folder,train_set_before_training,train_set_after_training,test_set_after_training
./output_roberta_iPET_100/yelp/p2-i2,0.25,1.0,0.5491
./output_roberta_iPET_100/yelp/p3-i0,0.31,1.0,0.54176
./output_roberta_iPET_100/yelp/p3-i2,0.31,1.0,0.54302
./output_roberta_iPET_100/yelp/p1-i1,0.38,1.0,0.5436
./output_roberta_iPET_100/yelp/p1-i0,0.38,1.0,0.54072
./output_roberta_iPET_100/yelp/p0-i2,0.41,1.0,0.542
./output_roberta_iPET_100/yelp/p0-i1,0.41,1.0,0.55234
./output_roberta_iPET_100/yelp/p2-i1,0.25,1.0,0.55274
./output_roberta_iPET_100/yelp/p3-i1,0.31,1.0,0.54832
./output_roberta_iPET_100/yelp/p0-i0,0.41,1.0,0.54952
./output_roberta_iPET_100/yelp/p2-i0,0.25,1.0,0.55842
./output_roberta_iPET_100/yelp/p1-i2,0.38,1.0,0.5459
./output_roberta_iPET_100/yelp-i2-distilled/p0-i2,1.0,1.0,0.59274
./output_roberta_iPET_100/yelp-i2-distilled/p0-i1,1.0,1.0,0.5943
./output_roberta_iPET_100/yelp-i2-distilled/p0-i0,0.0,1.0,0.59286
./output_roberta_iPET_100/yelp-i1/p2-i2,0.25,1.0,0.56056
./output_roberta_iPET_100/yelp-i1/p3-i0,0.28,0.99,0.56514
./output_roberta_iPET_100/yelp-i1/p3-i2,0.28,1.0,0.56426
./output_roberta_iPET_100/yelp-i1/p1-i1,0.38,1.0,0.57222
./output_roberta_iPET_100/yelp-i1/p1-i0,0.38,1.0,0.56496
./output_roberta_iPET_100/yelp-i1/p0-i2,0.38,1.0,0.57398
./output_roberta_iPET_100/yelp-i1/p0-i1,0.38,1.0,0.57296
./output_roberta_iPET_100/yelp-i1/p2-i1,0.25,1.0,0.5738
./output_roberta_iPET_100/yelp-i1/p3-i1,0.28,0.99,0.57076
./output_roberta_iPET_100/yelp-i1/p0-i0,0.38,1.0,0.57204
./output_roberta_iPET_100/yelp-i1/p2-i0,0.25,1.0,0.56214
./output_roberta_iPET_100/yelp-i1/p1-i2,0.38,1.0,0.55498
./output_roberta_iPET_100/yelp-i2/p2-i2,0.25,0.79,0.58378
./output_roberta_iPET_100/yelp-i2/p3-i0,0.28,0.84,0.576
./output_roberta_iPET_100/yelp-i2/p3-i2,0.28,0.82,0.58478
./output_roberta_iPET_100/yelp-i2/p1-i1,0.38,0.82,0.57848
./output_roberta_iPET_100/yelp-i2/p1-i0,0.38,0.85,0.57134
./output_roberta_iPET_100/yelp-i2/p0-i2,0.38,0.78,0.58428
./output_roberta_iPET_100/yelp-i2/p0-i1,0.38,0.85,0.58178
./output_roberta_iPET_100/yelp-i2/p2-i1,0.25,0.79,0.58868
./output_roberta_iPET_100/yelp-i2/p3-i1,0.28,0.81,0.58028
./output_roberta_iPET_100/yelp-i2/p0-i0,0.38,0.83,0.58766
./output_roberta_iPET_100/yelp-i2/p2-i0,0.25,0.83,0.5808
./output_roberta_iPET_100/yelp-i2/p1-i2,0.38,0.8,0.58456
